login,username
"@DavidRsvkbp79tz","GROUPES DES ANCIENS LÉGIONNAIRES PACA"
"@prvaldoise","PR VALDOISE"
"@ultimablagnac","Nicolas Lechaptois"
"@ChristopheArem1","Commissaire Juve Skywalker"
"@cekouac","Cékouaça ?"
"@PierrotMilan","Pierrot Milan"
"@CANALVOCALIBRE","French 𝕏"
"@edelannoy437","DE DROITE+++++ ARRETEZ LA CATASTROPHE"
"@YothAnn01","YothAnn R!"
"@siredebeaumont","Amalric de Beaumont"
"@Atricedaclo","nurse clo"
"@christian6872","Christian"
"@roro_le_natio","Roro_Le_Natio"
"@San71684","Sand63"
"@BurgerPe","pierre burger"
"@chteau23","Château d’enfer"
"@ProteusTrask","Proteus.Trask"
"@lepatriotedu_69","LE PATRIOTE"
"@BREIZH2700","Kaplar"
"@findumonde2050","196808"
"@FranckCoppola","Franck COPPOLA"
"@Flotarro","FLOTARRÕ"
"@lucie_dite","Lucie Dité"
"@BernardGhilain","ghilain b"
"@BatailledeFr","liberté Chérie"
"@alexXDraKe2","AlexX"
"@Philipp_Tux","#gueux #JeKiffeX #AgriculteursEnColere"
"@mister_negatif","Mister Negatif"
"@Vincent48159082","Résistance ! Gardons notre mode de vie."
"@rodloureiro","RODRIGO LOUREIRO"
"@Meh10now_MS","Mehdi Snow"
"@garandy31","André GARCIA"
"@fabienne_laune","LAUNE FABIENNE"
"@Lalala_Vie_","lalala vie"
"@lilinanagina","Ginalili"
"@fbu_82","Frank Buhler Patrisphère Info"
"@VinceMLaFrance","VincentMLaFrance"
"@Gab39422477","McP"
"@david_hart99999","david 33"
"@QuentinooooM","Quentin-Le-Patriote"
"@YazidHami_RN86","Yazid Hami"
"@psorin56","Patrick Sorin  #PatriotesFrance"
"@G_deMelville","Gonzague de Melville"
"@Wolfyus","Le Loup"
"@BdOeno","Doré Benjamin"
"@MichelPrieur77","les amis de Sarah knafo"
"@vapOsaure","Ras’Takouett"
"@SoazigBzh5","Margotte d'Armor Bretagne à tribord toute"
"@JunkyFromHell","Jibey"
"@ch_maill","Ch’maill"
"@lepatriotefr__","Patriote français"
"@momoi350","kalif"
"@Atlanti80526413","Atlantis"
"@JTJANIEC","Joëlle R!#Patriote45"
"@rthilay","R. de Thilay"
"@LouIs9751339101","Lou Is"
"@jcjulliand","Jean-Claude J-R!"
"@RoFrancais","Robin des français"
"@pascaltintin","alfred barnabe"
"@Michel78118339","Michel"
"@claudia26110","Claude R."
"@CrisTofZemmour","Cris Tof"
"@CossangeT","Cossange Thierry"
"@CougarMax","Membre"
"@cirose_olo","ciroseolo"
"@pois5752","Albert P."
"@veilleuxm235","Michel Veilleux"
"@Nazgul_Hai","Dark Watcher"
"@PMistrot","pierre"
"@LejeuneAnne2","Lejeune Anne"
"@DANASCULLYXF76","VALKYRIE76 Ⓩ ®"
"@Boudriolle54","Hubert Boudriolle"
"@Surferweb24","Surferweb24"
"@trinacrie","trinacrie matricule3263 #non vaccin"
"@orlanitoo","Orlane"
"@ArianeNextFR","Ariane"
"@Daniel57500","daniel de Moselle"
"@CedRn972","Crampon Cédric"
"@mart46852","Gęreč Zjerím"
"@Marcel45496433","Howard"
"@joelpeppone1","Figli di Patriae"
"@BerserKraz_","Berserkraz"
"@BrehatErwan","Erwan Brehat"
"@x_MyGodisaDJ","Gabriel D."
"@LaureAmbard","Laure AMBARD"
"@Idrition","Idrition"
"@MorelTom74000","Tom"
"@kriskraft12","chriscraft"
"@QuentinDek","Dekk"
"@jojoculazo","Je perds foi"
"@nykos_FR","Nykos"
"@francaislibrega","jean Leblanc"
"@MARIEsimone3970","Mlle de France"
"@micmxm2142","michael amblanc"
"@DidGrat","Didier Grat"
"@Viraltif","VirginieFrancePATRIOTE"
"@1966forever","Jean Luc"
"@Ligne__Droite","Ligne Droite • La matinale de RC"
"@ClerHug","Cler Hug"
"@cook194885","James Patagueul"
"@vraiegarde",".𝓥𝓻𝓪𝓲𝓮 𝓖𝓪𝓻𝓭𝓮 ."
"@Vince_3301","Vincent"
"@Gilles_Babar","Compte de Conspiration"
"@Dubsconqueror","Le conquérant"
"@KeltPat","Kelt-Pat"
"@BoGossPrebackup","Beau Gosse Prétentieux_Backup"
"@JGodefroy33","Vlad Godefroy"
"@DamiPassi","Dami passi"
"@Aiglondor","Aiglon d'Or ​"
"@duchessedemars2","Duchessedearseille"
"@DaN82200047","DaN"
"@Myriam170874","MB"
"@LesmediasM","LesMedias MeRendentMalade"
"@Paul14591","Ivar"
"@Bfractale","Olden F"
"@baywatch050135","Bruno BAYWATCH40"
"@AizeMK","Aizemk"
"@Angel56k000","Angel 56k"
"@AmvMlg25434","Entriote"
"@antimerluchon1","UneProfAuPaysDesWokes"
"@Conspidefense","Conspiration Defense"
"@Maybela67651031","Maybe_La"
"@_KrazyJack_","Krazy Jack"
"@JeanPr0fite","Jean PeuxPlus"
"@Aktarus24","Yan Mani"
"@lavemowill","Fala Will"
"@Surcouf_92","Surcouf"
"@fdz_chris14946","Chris fdz."
"@JeanNai42631596","Jean Naimarre"
"@LaFranceOuRien2","La France ou Rien"
"@AntiGauchiste11","AntiGauchiasse"
"@hau_didier","Didier Hau     Lève-toi, resplendis"
"@veritevraie80","VeriteVraie"
"@urbany73","urbany. jamais sans Zemmour"
"@DuduAntoine","Anto Du Wood"
"@waslal2005","waslal2005"
"@Antoine08741727","Antoine"
"@scameo","Paramécie des Murailles"
"@FRO_LIAN","Frolian  . . . φ = Furoncles"
"@Nina_s_mind","Nina_s_mind"
"@LilloisPatriote","Lillois"
"@EricCAMA","Eric CAMA"
"@pollyroger2","polly roger"
"@ikerxyz","iker"
"@ronde43383","Charles Martel"
"@MaguiTobac","Magui Tobac"
"@Je_suis_RF","hugo"
"@daronne72","daronne72"
"@IsaF67","IsaF"
"@Gwen020133","Gwenaëlle"
"@levequemarc85","leveque marc"
"@mwgafr","MWGA"
"@hasbiyallahwani","Hasbiyallah wanimal Wakeel"
"@LaFrForte","LaFranceForte"
"@petitpetard8","Petitpetard"
"@Kylian31321473","Keylian"
"@Neptune3333333","MMM"
"@Ricola92000","Eric"
"@SpagnolHugo","Spagnol Hugo"
"@kukuthepraline","Membre"
"@H_liberty2","H - LIBERTY"
"@AntoineKoe95447","Antoine Koenig"
"@EdgarPuaud","Edgar.Puaud"
"@bodino6","bodino"
"@fannybleuet","Nicole Saintot/Atika Moret"
"@francaisLibre02","La.France.Libre.eternelle"
"@Stonepic1","Stonepic"
"@31_mayanne","Belle des champs"
"@CarlitaB2A","Carlota"
"@i_cerveaux","Eric Vexau"
"@epeedelajustice","Epeedelajustice"
"@GuilF1159","G."
"@Onizukaalala","Onizukaa ✞"
"@jusko_bout","JuskoZ"
"@Fred55907531","Fred"
"@MamaMia853","matt"
"@MAnthoParis","Antho"
"@addonflow","L'outside"
"@ThomLePaladin","LePaladin"
"@marianne632","letice"
"@BALZAC2004","LE PATRIOTE DE PARIS"
"@FMarcaneshermes","Françoise Martin"
"@colored_mike","Reiji"
"@BougiesNounours","Fredleds"
"@Aloyreyn","Alorey"
"@BourillonYoann","YoannFrance"
"@Tesse_Tickle","Tesse_Tickle"
"@VincentProPh","Vincent"
"@che88297","Justepourvoir"
"@Linajolie21","Marie SAUVAGEOT"
"@franoitchev","Franoitchev"
"@BM_BZH","BM56-BZH"
"@Libert2penser1","FrançaisLibre2Penser"
"@Neenett13","Neen"
"@delecroix_jp","JPDelecroix"
"@aurelie_surget","Aurélie Surget-Roy"
"@DavidFoal","Foal"
"@IiJaehaerys","Jaehaerys II Targaryen [Arkaennon]"
"@RefracGaulois","Gaulois refractaire"
"@marrav404","Marra valentina"
"@gigideprez","Giryes"
"@DadouRegisseur","dadou_le_regisseur"
"@LaTortueTordu","La Tortue Tordue"
"@CapitaineValeur","Capitaine Valeur"
"@JeanPie52085785","Jean Pierre"
"@dupontdaniel33","DANIEL.D.."
"@LJTempete","Tempête"
"@Nathali97869130","Trinity"
"@Marius_Fluvius","Marius"
"@AymericLatour","Aymeric de LAROCQUE-LATOUR"
"@maryuellou","maryse"
"@malpensante_3","Nami(3eme compte)"
"@cmarlene_78","Divergente21"
"@Nathlry17","Nath Lry   #JamaisSansZemmour"
"@denisjo16","Fenrys"
"@polonissa06","polonissa"
"@batflec07843381","la France avant tout"
"@SylVie022327","Syl Vie"
"@Loumart21114231","Lou"
"@Corsu20A","Pat Guerini"
"@Georges73922577","Georges"
"@MattDelacourt","Matthieu Delacourt"
"@danubaud","ubaud daniel"
"@statemachinist","Statemachinist"
"@JeanLouisEldin","Jean Louis Eldin"
"@yannickza","Gaullobonapart"
"@cesarinijosy","Josy Cesarini"
"@cocochanel06000","CocoChanel"
"@LN_la_gauloise","La Gauloise Chretienne"
"@LeGauloisAverti","Le Gaulois Averti"
"@JCD78144942","𝕭𝖆𝖇𝖔𝖚𝖈𝖍𝖊𝖑𝖔𝖛𝖊𝖗®"
"@Barbarabichette","Barbara"
"@Jerarjunho","Pascal Meneaux"
"@Ermitage83","Arbre"
"@maguymar","Maguy MAR 63"
"@diabolo79419444","Chevalier Forezien"
"@ChrisJacq","Chris Jacq"
"@stephydu67","stéphy"
"@AnthonyMura","Aper Noster"
"@LibertePeanuts","Peanuts_En_Liberté"
"@GLecitoyen","Gaston LePatriote"
"@oolgixxx","Geran III"
"@FertLecoeur","Lorm Tuan"
"@jlouis_45","jlouis"
"@GODAN1001","Fabien"
"@OcrOckdUr","J'AIME LES INVALIDES ✞☨"
"@FrenchXpat26","Matt"
"@DjoKoLeGoaat","Qui aurait pu prédire?"
"@Jokers0001","joker"
"@virgilemichel78","Virgile!"
"@SapientiaVerita","Sapietia e Veritas"
"@chrisbelb70400","ChrisBelb"
"@RetourUncledrew","Uncle Drew"
"@CFoulartd","Corine Foulartd"
"@CornubertD70","Cornub'D"
"@chakimiole","Carole MTC"
"@ant68127","Resistant France"
"@petittoctoc","Ourson Petit"
"@MImpli90521","Frost"
"@Liamus83","Bernard"
"@Guet_Down","#MangeTmlesHashtagS"
"@Taskasha","Natiris"
"@Bernard39559985","Bernard"
"@Boujoumapoule","Père Lapouque"
"@flo48084802","Florent guillon"
"@piza25431","je suis qui je suis  Russie"
"@cochkka","ΣcohkkaΣ"
"@ValloisFranck","Franck Vallois"
"@Null_Operator_0","Null_Øperator"
"@00h00moins1","Minuit-1"
"@CHenryDelapomme","CharlesHenry Delapomme Z"
"@josycesarini","JC"
"@gilles_pace","Gilles PACE"
"@JeannedeSavoie","Jeanne de Savoie"
"@xor1343420","X OR"
"@FrdriqueGa62110","Tanguy21998144"
"@JBlanchonn92022","JF6386"
"@ChrisVales81","Chris Vales"
"@PascalH02833324","Pascal Huet"
"@Flavx66","Flavor Flav"
"@pierrecaz3","BioMolec"
"@Ulane2023","André Martin"
"@LVLVCV","LilooV"
"@ben99347","BENJO"
"@potitblagueur","Julios"
"@b27526","BAR.B"
"@EleganciaLuxury","BenExpatriation  - Elegancia Luxury"
"@CharlesFyda","Fyda Charles"
"@Sadsong55","Sadsong55"
"@LBelong","LW Belong"
"@Albator7466","Chuttttt"
"@imperator_x2","𝕮𝖑𝖔𝖙𝖆𝖎𝖗𝖊 𝕏"
"@LComplotis85799","Le complotiste"
"@TitouLeGascon40","Alexis Lucifer40"
"@KhalGrogo","Khal Grogo"
"@OncleLucifer","Tonton Lulu"
"@ElMosquito7059","Vélo6rapports"
"@LezardSolupus","Sol"
"@TartarinF66800","Tartarin Frédéric"
"@hypographitr","Membre"
"@trollpatriote","Georges Marcel"
"@kzvesda","ierger robert"
"@pierre_beroy","Pierre Beroy"
"@Majormike63370","Michel Charbotier"
"@RaoulBitemboi","Bientôt"
"@CarrePaule","Paule"
"@Marie58831485","Marie"
"@ReseauPatriotes","le réseau des patriotes"
"@FRANOISEDU26281","FRANÇOISE DUBOIS"
"@cailpas","Pasthie"
"@PpGuib","Pp Go"
"@Shreklevrai31","Bob"
"@Alex77zz","Alex 77  Matricule 207"
"@Helen_40R","Helen"
"@Gbucheton58","Gilles Bucheton"
"@VivelaFrance51","Vive La France 1515"
"@GilbertM_28","Gilbert"
"@Ouz9395","Ouzi"
"@bellatrix7","Dans l’oeil du cyclone"
"@Sophiesainttro1","Sophiesainttrop"
"@Wyzzj","Ulysse"
"@axel_swailli","Axel-Swailli RN-UDR-DLF-ID_L"
"@1_saucisse","Kelly Diott (Elo it’s me again)"
"@SmithHannibal66","Hannibal S"
"@SylvieNellinge1","Z Nelsisi"
"@S23Sylvain","Sylvain"
"@ChiBraxLeGrove","chib rax"
"@carlosj44479425","Les Florilèges macronistes"
"@AlvesBaudouin","Baudouin Alves"
"@eurielle4","GD"
"@LartasChrist","Christophe Lartas"
"@vincent95298758","LEMAIRE Vincent Daniel"
"@hugo_apolline","Apolline Hugo"
"@magaki834487","Magaki"
"@martinelyra","Martinelyra"
"@DianeTaille","Tatie Dianette"
"@lilou75905975","lilou"
"@BatricePLAISAN1","luccio027  #JamaisSansZemmour__X"
"@CedTtt","CedTt"
"@marc_flandin","Marc FLANDIN"
"@tekevzblz","ducks4evr"
"@I_pivoine","Isabel"
"@pascal00759","pascal"
"@GisouLaFee","Gisou Moi Et Toi"
"@Supra19115522","Supra"
"@dragonduclos","Barbara78"
"@lapas_sage","Lapas Sage"
"@lariflette50","EvePouvantable"
"@Kheops_69","khéops"
"@valerietri55019","val&rie"
"@TerritSolidaire","Territoire Solidaire"
"@CPlanq2","Chris"
"@socal_jessy","Jessy SOCAL"
"@Halcyon65","Halcyon"
"@Faratatouyeu","FARATATA"
"@patriote620","patriote masqué"
"@raglenatio","Un Viking"
"@PhilHickethier","Hickethier Philippe"
"@baltha_sylvie","Sylvie"
"@LoccitanZ","Loccitan"
"@KPoetesse76669","Katryne Poétesse"
"@r_pichaud","rose49 / Roselyne Pichaud"
"@momodu901","Patriote a jamais"
"@JbJurgas","JB Jurgas"
"@Rodrigue374713","Rodrigue"
"@France61224153","𝗙𝗿𝗮𝗻𝗰𝗲"
"@TMediafran38468","Back to the BLed fr fr fr fr"
"@mingus85","Mingus V"
"@MarionB1439","Marion"
"@DkuhnDk","DK67DK"
"@Sasha___Touille","Sasha Touille"
"@Domusignis","Domusignis"
"@Mouchette_13","Mouchette 13"
"@frachaba","François Chabanet ن"
"@FrReever63","Le Patriote Français"
"@FranceSupRN","support France"
"@Corinne77930374","Corinne"
"@benoit_thole","Benoit Tholé"
"@DeniseSonck","CarpeDiem"
"@VictorienGBiet","Victorien Grospiron-Biet"
"@anthonygtr_","Anthony"
"@DannyWilde1968","Toto Le Héros"
"@thegentleman49","The Gentleman"
"@bibibabidiboum","Plaît-il"
"@Nanou77_2A","Nanou2A    ............"
"@le_majordomme","Jean"
"@PoissonEmma78","Poisson Emma"
"@pat75118","★彡( ₱₳₮ )彡★"
"@SPCTR243","𝘡𝘗𝘦𝘊𝘛𝘙𝘦"
"@MichelDumas17","Michel"
"@madmax196614960","Mad max"
"@Shura2099","Cédric C."
"@chacalo_el","Le gouverneur"
"@SurfingCelia","Celia"
"@Arym051099","Golem"
"@French_Right_","Le Chemin De La Vérité"
"@ComtesseFrance","Comtesse-De-France"
"@NicsenSennic76","NICSEN"
"@IsaGaudion","Isabelle GDN"
"@katikat881","Katikat"
"@Rez1__sec","Batcool"
"@Montifringilla5","Niverolle des Aravis"
"@RicemoE89790","Sgt :Bleu,Blanc, Rouge, ancien Sgt Augagneur"
"@Spada1808","Kimchi"
"@davlad444","DaVlad ⓩ"
"@Cc7652516620930","Cc"
"@kalya03","Kalya"
"@poupette7154","Poupette7154"
"@antistups92","Antistups"
"@Atedjoe1","Atedjoe"
"@ClovisLuteceFR","Clovis Lutece"
"@BysmuthFredy","Bysmuth Fredy"
"@NinaPravda_","Nina Pravda"
"@newFandemode","Fandemode"
"@Arandzeo","Joncic Mirjana"
"@IsabelleSojfer","Sojfer"
"@dylan_4950","D"
"@vatosleo","Dimitri Legio"
"@RealKayzerJoze","Kayser Jozé   Alsaco-chti/Vikingo-yenich"
"@Jaimemavie12","Jaimemavie"
"@perlebb","Perle"
"@francisGodard1","francis Godard"
"@wnttaboutU","Marianne"
"@couic290","CαяоIιиє"
"@Lody66000","Loumy"
"@KevunKev","Kevin"
"@AvonJoel5462","Joel Avon"
"@P_o_r_u_n_g_a","Porunga"
"@Renaud_G_R_off","Renaud GEOFFROY-ROUAIX𝕏רנו ג'פרוי-רואי"
"@anatoleJMLP","Bob Denard"
"@f_ch_winston","CharlesWinston"
"@MYOMIAOU357","MYO@MYOن"
"@WaldOs94716163","OsWald"
"@EdKj666","Ed"
"@PascalTassera","Ptasserauk"
"@wassimzs_mind","WASSIM ZS Mind"
"@DavidDavid69639","David David"
"@PatrickRene30","Patrick René-Marcel"
"@JustineMerieau","JustineMérieau#FF#Ciotti#Z#Retailleau"
"@guyard_bruno","Guyard bruno"
"@xieduor_lyon","Steph"
"@MmdDfc39","MMD"
"@HerosRogue","RogueHéros"
"@SansGauchee","AntiGauchiasse"
"@doowave","Doowave"
"@LeCrocodile_1","𝑳𝒆 𝑪𝒓𝒐𝒄𝒐𝒅𝒊𝒍𝒆"
"@Ecotriote","Le Patriote - FREXIT - Stop OTAN - PAIX"
"@mathieuD33","Mathieu"
"@fedaikine2","Fred"
"@legrain2sel","Le Grain de Sel"
"@kafirpride","kafirpride"
"@Steph_Mrcr","Mercier Stéphane"
"@WilliWallace51","WALLACE William"
"@LemetFrederique","lemet frederique"
"@KellyVital70104","vitaline Kelly"
"@CeeJay80902603","Cee Jay"
"@fredericCRdeV","Frederic CR"
"@SambottSg","kasskroot"
"@Colinou4799","Colinou"
"@arbanenc","Michel57050"
"@RPF_offi","R.P.F"
"@bou95397","bernard bouffon"
"@DrekkRider","Drekk Plissken"
"@MartinRome3","Martin Rome"
"@jeanmarielapar1","Jean-Marie LAPARRA"
"@AlainCbius","Alain C."
"@DivergencePo","Divergence Politique"
"@blabliblablobla","La peau des fesses"
"@ROUYERChantal","Chantal Rouyer"
"@annescorpion","annescorpion"
"@orelvtr","Orel VTR × ͜ ×"
"@NordisteSeb","Seb nordiste"
"@AriazDv","Ariaz"
"@Victori57499364","Victoria"
"@LHommeRobuste","Homme robuste"
"@scarlett54800","Vaness"
"@BonaldLoui64349","Louis de Bonald"
"@JPhMagnee","Jean-Philippe Magnée"
"@T_Le_Gaulois","T_Le_Gaulois"
"@JavicNero","Nero Javic"
"@KMyrtille","𝑺𝒕𝒂𝒏𝒛𝒊"
"@TSyl210461","sylvie T."
"@laurent1200s","laurent"
"@CedH54","Gasby  avec  /"
"@alainpaulweber","Alain Weber"
"@NevoLouis","Nevo louis"
"@_jeroboam_","Jeroboam"
"@wargondusud","Olive"
"@DSlayer2a","Denis Slayer2a"
"@Irishceltics14","forest cedric"
"@Maxlegaulois","De France mon pote..."
"@matheo_garreau","mg✞"
"@Lunewinnie","Lunewie "
"@Gabriel1845371","Scourge"
"@pierre94230","Pierrot le fou"
"@MEGAFR_Off","MEGA France Officiel"
"@FrancheTouche","Franche Touche"
"@ladypatriote","LaLadyPatriote"
"@mickygigli","Spider Halouf."
"@Bertrand33190","Bertrand Berry"
"@ZBGHerbert","Zbigniew H."
"@LeGonfanon","Le Gonfanon"
"@ArtMorbius","Art-Morbius"
"@GabrielleLamer","GabrielleLamer"
"@francevamal974","La France va mal"
"@DodgsonLs23022","M. Iceberg"
"@JJeffJJeff","Jjeffjjeff"
"@Ericsavoyard73","Érik 73"
"@AyleFaure24","Aylé Faure"
"@vlad_berrichon","Rémy Gration"
"@avenireflexion","Avenir Reflexion"
"@Nicofun842","TheNico"
"@Giga_Saul","GigaSaul"
"@EvaBienn","Eva.Bien"
"@ReineHildegarde","Hildegarde"
"@AugustinduNord","Augustin Letot  #freeFrance"
"@DolphenManuel","Manudol"
"@MickeyAzurMoka","mickey azur moka"
"@CarnetJc","JCC"
"@NlnAZS","azerty"
"@DameHetaire","Hétaïre"
"@PeineTheLordInq","Peine The Lord Inquisitor"
"@DarkSpearhead","𝕯𝖆𝖗𝖐 𝕾𝖕𝖊𝖆𝖗𝖍𝖊𝖆𝖉  ن"
"@flirtleck","Maman Tortue"
"@machatte667","Machatte2"
"@jamalmalauionf","Bla2Bla"
"@Fumaxhazetek","hell’s door"
"@La_Pourfendeuse","La Pourfendeuse"
"@ankh_biy7","Serge Biyong"
"@AxSrN11","."
"@APrv22","Antonin"
"@kestuvaferfrr","POLAK."
"@AbbruciatiM","Abmar"
"@MalloCacahuete","PateDamande"
"@belisab60","belisab60"
"@aquarel9000","aquarel9000"
"@matmylene38","mylene"
"@Luca_soria1926","VIVE LA FRANCE"
"@Francesinslam","France Patrie et Mecha"
"@Ptitfilou5446","Ptit filou"
"@1actu1j","1Actu 1Jour"
"@LucteriosG","Lucterios le gaulois"
"@123_JEncule_LFI","OneTwoThreeJEnculeLFI 𝕏"
"@Frenchbreton35","Penseur Français"
"@Starlight55200","Astral-Opithèque"
"@Victori12751121","Victoria"
"@IADEavecZemmour","Les Zinfirmières Avec Zemmour"
"@NicPatt196924","Nic Patt"
"@marielahache","Marie La Hache"
"@WolfStar8950","anonyme 50"
"@DJ_U_FR","Justin Petitpeu"
"@FdFoch","Ferdinand"
"@rolsur","Roland"
"@Rtcnmp2","Rtcnmp"
"@lassusandre1","lassus andre"
"@huguenotfrance","Armand R! ☨"
"@No_Oxygen_4_U","No_Oxygen"
"@FloBi81","FloBi"
"@napoleonixator","Juliux.Clementus/Austerlitz"
"@JohnDoe1424244","John Doe"
"@Scari75","Roro"
"@Coolzro1","Jenaimarre"
"@Captaineflammes","nono"
"@juno7514142131","juno7514@OUTLOOK.FR"
"@MInstantLinks","Make Instant Links"
"@stephan_199","STEPHAN#199"
"@LesColonnies","Bridgebit"
"@RoxSurvival","Rox Survival"
"@LitanteMimi","Mimi Litante"
"@BrdgMl","Mlbdgr"
"@MEGA_please_","MEGA - Make Europe Great Again"
"@mike14027843","Mike R"
"@MerlouA800323","MERLE Oswald"
"@myrtillemyrt","Colomba"
"@louisetteduboi","Louisette"
"@Patrick_Erben","Patrick"
"@sophocle1154","Sophocle"
"@zhangpixop","Jojo"
"@_letankiste_","Valentin "
"@thislia0902","Thislia"
"@last_emperor_25","𝓓𝓮𝓻𝓷𝓲𝓮𝓻 𝓔𝓶𝓹𝓮𝓻𝓮𝓾𝓻"
"@AristideLaunay","AristideMoulamed"
"@HugoBlourdier","Hugo"
"@umrafu","Raf Um"
"@Yesso421","Yesso"
"@OlejPhil","phil olej"
"@GautierM54","Gautier"
"@Wexxou","Wexxx"
"@maxence1994","Maxence1994"
"@Darxcioo3","WhiteHunter"
"@vincemah","Vince MaH"
"@RuizVelvet92","Virginia"
"@huguesneghnagh","Neghnagh"
"@malakian74","Pitch"
"@BacussB39990","Bacuss Bacuss"
"@MallardSeb","Requiem F.T.W"
"@mangoshino","Mangoshino"
"@GaultBruno","BRUNO GAULT"
"@Soupe_Atomique","Rinalof V"
"@LaineAntho71508","Anthony Laine"
"@RaeLeesoon2","Rae Leesoon"
"@jeromeschall","Jérôme Schall"
"@GerardPaul95405","Gerard Paul"
"@clovis_1789","Clovis 1789"
"@gezugolin","Gézugolin"
"@Dk28100","Caro d"
"@Orangia51","Le Raton Laveur"
"@MichelPatulacc4","Michel Patulacci"
"@chrisbaile06","Christiane"
"@Kronos994996561","Kronos"
"@NouvelleVoieFR","Thierry | Nouvelle Voie"
"@lpvlnshv","Sarah de Gascon de Saintonge"
"@Andras67255431","Andréas"
"@CtChristel23","Christèle"
"@lkkkuuk","LKII"
"@jookzie","jookzie"
"@CycyDm","Cyrielle G. de Montjay"
"@DilectusGallia","Douce France"
"@pguermeuroff","Philippe GUERMEUR #Reconquête !"
"@SLandaise","sophie la landaise"
"@hydropruben","hydropruben"
"@Krikritoune","Chris  Patriote et fier de l'être !"
"@LionneXST","Lionne"
"@ManymattMa08","Patriote"
"@Benoit23C","Benoit23C"
"@D4rkDissident","Dark"
"@OEschlimann","Olivier Eschlimann"
"@nowaktombe","Tom Nowak"
"@ZenkoLespadon","Zenko"
"@mrzpatriote","Martin"
"@aventurierdu66","criscrisdu66"
"@TRUEYESNO","TRUEYESNO Ma France LFI-ISLAM"
"@meg340291861620","meg"
"@_JaxTelIer","Ackerman"
"@LaurentBloyet","Bloyet Laurent"
"@GusDP2","Gنs Patriote"
"@popssau","Popssau"
"@BoutetMimine","boutet"
"@hardcomplainX","pops"
"@TitouD5","Oliv.39"
"@Auvergnix0363","Auvergnix le Gaulois"
"@Bastineto","Bastien"
"@ClairMarjo70055","Marjorie Clair"
"@lapignouf78","no comment"
"@BssnMarine","Thesmos"
"@maxlegrosmatou","max  pionnier Reconquête"
"@ChloRicky1","Chloé_Ricky"
"@ericbelon65","Eric B Patriote"
"@CafeCompta56202","Compta Ex Musulman"
"@PhilippeRives83","Philippe Rives"
"@walterwoodd","Walter"
"@AdrienLeMonk","Adrien Monk"
"@Pascal11703","Pascal Garos"
"@Gt_Fring","Gustavo Fring"
"@stephane_adam","Stéphane"
"@CathPicardie","Cath De Picardie"
"@K47natio","Kev la menace"
"@gigapersillade","Persillade saoulant"
"@Noahcfo2","Me_Suricato"
"@JRMM13MZRG","JRMM"
"@LaVarham","La_Fronçe_Bien_Soumise____Réveil_Patriote"
"@LeoDeNecy","Leo de Necy"
"@DaguzanJ","TEMPLIER"
"@mirage1340","f.lambda"
"@Adrien_gsr","Adrien"
"@NinaF1000","Nina lrz"
"@ledracoo","Le D"
"@D_101_M","DCCXXXII ⓩ"
"@CozannetBernard","Le retour du blaireau"
"@22mb55000","LE CHAT"
"@lorgar18072032","Lorgar180"
"@Virgflr","☆♤☆♤"
"@GaelAlby33","Alby Gaël"
"@MonsieurMarcad1","Lou Pan Bagnat"
"@atchoumeur68","Catchoumeur68"
"@patchach","Tomé"
"@OLEVILAIN","TOUCHPAMAFRANCE"
"@CedCollier","Ced 4517"
"@Nuage84797721","Nuage"
"@phoenixsim777","REMPLACEMENT-TV"
"@clovis1039","Clovis1039"
"@Tanystropheus1","Pierre Brochant"
"@VincentEric34","VincentEric34"
"@douard20412180","édouard"
"@Illbeback359642","I'llbeback"
"@mickarocco","Mick"
"@Pdsdlc","Pierre S. ن"
"@BrunoTeh","Bruno LELEU"
"@loicfr25","LOÏC"
"@Blabla2Jack","Uncolonized Mind"
"@PicardPatriote","Ch'Samarien"
"@FabreBernadac","Fabre-Bernadac"
"@CapetLouis14","Dugenoux Marc"
"@ForceEtPatrie","Le gaulois"
"@Cloclolemero","le penisher"
"@titidesneiges","Elù"
"@KC_POULETOLeKFC","POULETO LeKFC"
"@superblade83","blade"
"@QuenKGrande","QuenK"
"@zvr6900","zvr23"
"@shiroyashaneko","Shiroyasha Neko"
"@andregatineau38","André"
"@wwwculotteme","liberty"
"@eliottjojo","Eliott"
"@Patdu83136","Patdu83Les Patriotes"
"@IllBeBack56","Eric Berthelot"
"@JeanKulasek74","Jean Kulasek"
"@MiladyBeltham","Milady Beltham"
"@GregSayad","Papoux"
"@tweetderomu","Romu"
"@AngHomg","A"
"@gaia8909","Gaia"
"@killzone05959","menard Sébastien"
"@ValDeChatenay","LIGHT."
"@FraudeClancois","BOYA"
"@LeCoqCain","Le Coq Cain"
"@BurnsLewai01","Montgommery Burns"
"@ActuSouveraine","Actu Souveraine"
"@l_AGIE_l","SRO / OSINT WeebM@ster / ●"
"@traque2gaucho","Traque2gaucho"
"@cobrakai8014","Vegeta"
"@sebixyzx","La France du Bon Sens"
"@Discord_Enosis","Discord Enosis"
"@VVVfrance","sans_faire_de_concession"
"@art_en_flo","Flo "
"@vivikrf","Vivi"
"@Zegal_","Aquapoulco"
"@Valosh59160","Valentin"
"@polskafr","Membre"
"@Chris_pies59","Chris Pies"
"@Siixela2710","FC ALMADA"
"@BouleetBill24","Mohican"
